Ranking;Título;Plataforma;Nota;Descripción;Desarrollador;Productora;Genero;Fecha_lanzamiento;Año_lanzamiento;URL
1;Elden Ring;XBOne;9,82;Elden Ring Género/s: Action-RPG / Hack and Slash / Tipo Souls Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 10 96 Según 84 críticas Fecha de lanzamiento : 25/2/2022 Desarrollo: FromSoftware Producción: Bandai Namco Distribución: Bandai Namco Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC COMUNIDAD 9.27 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Elden Ring para PlayStation 5 59 votos #2 en el ranking de PlayStation 5 .;FromSoftware;Bandai Namco;Action-RPG / Hack and Slash / Tipo Souls;25/2/2022;2022;https://vandal.elespanol.com/juegos/ps5/elden-ring/102076#p-79
2;Red Dead Redemption 2;XBOne;9,68;Red Dead Redemption 2 Género/s: Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA Plataformas: También en: PC Ficha técnica de la versión PS4 Más información ANÁLISIS 10 97 Según 98 críticas Fecha de lanzamiento : 26/10/2018 Desarrollo: Rockstar Games Producción: Rockstar Games Distribución: Take-Two Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC Trucos PS4 COMUNIDAD 9.21 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Red Dead Redemption 2 para PlayStation 4 284 votos #2 en el ranking de PlayStation 4 . #5 en el ranking global .;Rockstar Games;Rockstar Games;Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA;26/10/2018;2018;https://vandal.elespanol.com/juegos/ps4/red-dead-redemption-2/42942#p-79
3;Persona 5 Royal;PS4;9,67;Persona 5 Royal Género/s: JRPG / Rol Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 10 95 Según 71 críticas Fecha de lanzamiento : 31/3/2020 Desarrollo: Atlus Producción: Atlus Distribución: Koch Media Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés / Japonés Online: - Requisitos PC COMUNIDAD 9.53 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Persona 5 Royal para PlayStation 4 95 votos #1 en el ranking de PlayStation 4 . #3 en el ranking global .;Atlus;Atlus;JRPG / Rol;31/3/2020;2020;https://vandal.elespanol.com/juegos/ps4/persona-5-royal/69251#p-73
4;Elden Ring;PC;9,65;Elden Ring Género/s: Action-RPG / Hack and Slash / Tipo Souls Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 10 96 Según 84 críticas Fecha de lanzamiento : 25/2/2022 Desarrollo: FromSoftware Producción: Bandai Namco Distribución: Bandai Namco Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC COMUNIDAD 9.27 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Elden Ring para PlayStation 5 59 votos #2 en el ranking de PlayStation 5 .;FromSoftware;Bandai Namco;Action-RPG / Hack and Slash / Tipo Souls;25/2/2022;2022;https://vandal.elespanol.com/juegos/ps5/elden-ring/102076#p-13
5;Hades 2;Switch;9,65;Hades 2 Género/s: Action-RPG / Dungeon Crawler / Roguelike Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 9.5 94 Según 46 críticas Fecha de lanzamiento : 25/9/2025 Desarrollo: Supergiant Games Producción: Supergiant Games Distribución: Steam Precio: 23.99 € Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: No Requisitos PC Logros Estadísticas Steam COMUNIDAD 8.47 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Hades 2 para Ordenador 3 votos Insuficientes votos para figurar en los rankings.;Supergiant Games;Supergiant Games;Action-RPG / Dungeon Crawler / Roguelike;25/9/2025;2025;https://vandal.elespanol.com/juegos/pc/hades-2/131658#p-83
6;Half-Life: Alyx;PC;9,63;Half-Life: Alyx Género/s: Aventura de acción / Realidad Virtual Plataformas: Ficha técnica de la versión PC Más información ANÁLISIS 10 93 Según 69 críticas Fecha de lanzamiento: 23/3/2020 Desarrollo: Valve Software Producción: Valve Software Distribución: Steam Precio: 49.99  Jugadores: 1 Formato: Descarga Textos: Español Voces: Inglés Online: - Requisitos PC Logros Estadísticas Steam COMUNIDAD 9.6 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Half-Life: Alyx para Ordenador 19 votos #2 en el ranking de Ordenador . #5 en el ranking global .;Valve Software;Valve Software;Aventura de acción / Realidad Virtual;23/3/2020;2020;https://vandal.elespanol.com/juegos/pc/halflife-alyx/79546#p-13
7;Red Dead Redemption 2;PS4;9,63;Red Dead Redemption 2 Género/s: Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA Plataformas: También en: PC Ficha técnica de la versión PS4 Más información ANÁLISIS 10 97 Según 98 críticas Fecha de lanzamiento : 26/10/2018 Desarrollo: Rockstar Games Producción: Rockstar Games Distribución: Take-Two Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés Online: Sí Requisitos PC Trucos PS4 COMUNIDAD 9.21 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Red Dead Redemption 2 para PlayStation 4 284 votos #2 en el ranking de PlayStation 4 . #5 en el ranking global .;Rockstar Games;Rockstar Games;Aventura de acción / Mundo abierto / Supervivencia / Tipo GTA;26/10/2018;2018;https://vandal.elespanol.com/juegos/ps4/red-dead-redemption-2/42942#p-73
8;Persona 5 Royal;Switch;9,63;Persona 5 Royal Género/s: JRPG / Rol Plataformas: Ficha técnica de la versión PS4 Más información ANÁLISIS 10 95 Según 71 críticas Fecha de lanzamiento : 31/3/2020 Desarrollo: Atlus Producción: Atlus Distribución: Koch Media Precio: 69,99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Inglés / Japonés Online: - Requisitos PC COMUNIDAD 9.53 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Persona 5 Royal para PlayStation 4 95 votos #1 en el ranking de PlayStation 4 . #3 en el ranking global .;Atlus;Atlus;JRPG / Rol;31/3/2020;2020;https://vandal.elespanol.com/juegos/ps4/persona-5-royal/69251#p-83
9;Elden Ring: Shadow of the Erdtree;PC;9,6;Elden Ring: Shadow of the Erdtree Género/s: Action-RPG / Mundo abierto / Tipo Souls Plataformas: Ficha técnica de la versión PS5 Más información ANÁLISIS 10 94 Según 64 críticas Fecha de lanzamiento: 21/6/2024 Desarrollo: FromSoftware Producción: Bandai Namco Distribución: Bandai Namco Precio: 79.99  Jugadores: 1 Formato: Blu-ray Textos: Español Voces: Español Online: No Requisitos PC COMUNIDAD 9.54 Seguir - 10 9 8 7 6 5 4 3 2 1 0 Elden Ring: Shadow of the Erdtree para PlayStation 5 6 votos Insuficientes votos para figurar en los rankings.;FromSoftware;Bandai Namco;Action-RPG / Mundo abierto / Tipo Souls;21/6/2024;2024;https://vandal.elespanol.com/juegos/ps5/elden-ring-shadow-of-the-erdtree/162589#p-13
10;The Legend of Zelda: Tears of the Kingdom;Switch;9,58;The Legend of Zelda: Tears of the Kingdom Género/s: Action-RPG / Aventura de acción / Mundo abierto Plataformas: Ficha técnica de la versión Switch Más información ANÁLISIS 10 96 Según 116 críticas Fecha de lanzamiento : 12/5/2023 Desarrollo: Nintendo Producción: Nintendo Distribución: Nintendo Precio: 69,99  Jugadores: 1 Formato: Tarjeta Textos: Español Voces: Español Online: - COMUNIDAD 9.14 Seguir - 10 9 8 7 6 5 4 3 2 1 0 The Legend of Zelda: Tears of the Kingdom para Nintendo Switch 140 votos #3 en el ranking de Nintendo Switch . #7 en el ranking global .;Nintendo;Nintendo;Action-RPG / Aventura de acción / Mundo abierto;12/5/2023;2023;https://vandal.elespanol.com/juegos/switch/the-legend-of-zelda-tears-of-the-kingdom/74464#p-83
